Varia por patamar?      ,    0,Unidade ,     MW,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,    7
Estg,Ser.,Pat.,Sydney      ,New York    ,DorrieR1    ,DorrieR2    ,Solar       ,Wind_2024   ,DSM and DR  
 130,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  472.87    
 131,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  472.87    
 132,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  472.87    
 133,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  446.42    
 134,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  446.42    
 135,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  446.42    
 136,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  446.42    
 137,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  472.87    
 138,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  472.87    
 139,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.81    ,  549.79    
 140,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.81    ,  549.79    
 141,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.81    ,  578.77    
 142,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.81    ,  578.77    
 143,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  374.28    
 144,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  374.28    
 145,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  374.28    
 146,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  374.28    
 147,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  374.28    
 148,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  285.27    
 149,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  285.27    
 150,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  285.27    
 151,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  472.87    
 152,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  472.87    
 153,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  472.87    
 154,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  472.87    
 155,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  472.87    
 156,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  472.87    
 157,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  472.87    
 158,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  472.87    
