Varia por patamar?      ,    0,Unidade ,     MW,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   16
Estg,Ser.,Pat.,PoR U1      ,Elf RapidsU1,GR U1       ,McA U1      ,DR U1       ,CF U1       ,TalR U1     ,MadridU1    ,TF U1       ,Tor U1      ,Ath U1 E    ,Ath U2 R    ,ES U1 E     ,ES U2 R     ,NeF U1 E    ,NeF U2 R    
  85,   1,   1,    65.76072,    53.55773,    92.47224,    39.20299,    92.27161,    65.36133,     0.00000,    72.58195,   208.00000,   456.39780,   471.50018,     0.00000,   555.02789,     0.00000,   929.13739,     0.00000
  86,   1,   1,    65.56554,    53.61012,    92.83986,    39.50431,    92.64051,    65.24738,     0.00000,    96.75892,   208.00000,   533.49982,   471.53610,     0.00000,   554.79944,     0.00000,   825.30048,     0.00000
  87,   1,   1,    65.64944,    53.40051,    91.98962,    39.13474,    92.23910,    65.06715,     0.00000,    69.60831,   196.27315,   259.96085,   471.57425,     0.00000,   554.44269,     0.00000,   495.16925,     0.00000
  88,   1,   1,    65.64944,    53.56799,    92.44015,    39.46336,    92.51283,    65.43171,     0.00000,   121.54361,   208.00000,   545.35413,   763.69678,     0.00000,   554.19006,     0.00000,   495.56952,     0.00000
  89,   1,   1,    65.64944,    53.56799,    92.44015,    39.18933,    92.41586,    65.19241,     0.00000,    69.60831,   208.00000,   372.89960,   471.58002,     0.00000,   554.25012,     0.00000,  1016.71973,     0.00000
  90,   1,   1,    65.64944,    53.56799,    92.44015,    39.32635,    92.09485,    65.26097,     0.00000,   100.38248,   208.00000,   332.23734,   270.88034,     0.00000,   553.82184,     0.00000,  1225.40039,     0.00000
  91,   1,   1,    65.67662,    53.63255,    92.67637,    39.32635,    92.41586,    65.43758,     0.00000,   211.10071,   208.00000,   595.25928,   426.40393,     0.00000,   689.25836,     0.00000,  1188.89563,     0.00000
  92,   1,   1,    65.67662,    53.53920,    92.44046,    39.46336,    92.73688,    65.17535,     0.00000,   210.99481,   208.00000,   646.86877,   471.70697,     0.00000,   766.54639,     0.00000,   701.53723,     0.00000
  93,   1,   1,    65.64944,    53.47463,    92.20362,    39.18933,    92.41586,    65.06148,     0.00000,   210.88899,   208.00000,   387.85565,   471.77350,     0.00000,   551.62659,     0.00000,  1176.59131,     0.00000
  94,   1,   1,    65.64944,    53.56798,    92.47224,    39.34000,    92.11081,    65.40324,     0.00000,   210.78328,   208.00000,   646.38654,   511.79788,     0.00000,   728.11493,     0.00000,   701.12598,     0.00000
