Varia por patamar?      ,    0,Unidade ,   m3/s,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   16
Estg,Ser.,Pat.,PoR U1      ,Elf RapidsU1,GR U1       ,McA U1      ,DR U1       ,CF U1       ,TalR U1     ,MadridU1    ,TF U1       ,Tor U1      ,Ath U1 E    ,Ath U2 R    ,ES U1 E     ,ES U2 R     ,NeF U1 E    ,NeF U2 R    
  77,   1,   1,   632.29999,   632.29999,   631.78754,   635.16852,   633.84424,   632.61127,     0.00000,   636.00000,   996.00000,  1990.43213,   342.00000,     0.00000,   772.64136,     0.00000,   789.90021,     0.00000
  78,   1,   1,   632.29999,   631.19165,   632.29999,   629.21149,   631.08167,   630.42224,     0.00000,   636.00000,   996.00000,  1341.79077,  1000.00000,     0.00000,   414.99655,     0.00000,   790.07202,     0.00000
  79,   1,   1,   632.29999,   633.40833,   632.29999,   633.91937,   632.67377,   634.01477,   709.95581,   636.00000,  1102.08179,  1979.71094,  1000.00000,     0.00000,   575.56891,     0.00000,   790.73901,     0.00000
  80,   1,   1,   632.29999,   632.29999,   632.29999,   630.68066,   631.19165,   631.35736,   709.91162,   636.00000,  1102.57898,  1350.28906,  1000.00000,     0.00000,  1001.59998,     0.00000,   790.99103,     0.00000
  81,   1,   1,   632.29999,   632.29999,   632.29999,   632.52002,   631.60034,   632.98334,   709.86743,  1161.56665,  1103.07812,  1682.65417,  1000.00000,     0.00000,  2500.00000,     0.00000,  1547.23132,     0.00000
  82,   1,   1,   632.85553,   632.41113,   633.62836,   634.79828,   634.76752,   631.93268,   709.82324,  1211.34094,  1103.57922,  1704.94043,  1000.00000,     0.00000,   492.09583,     0.00000,   813.17316,     0.00000
  83,   1,   1,   631.74445,   632.63336,   631.85175,   630.46179,   631.52173,   630.29041,   709.77911,   675.05243,  1104.08215,  2206.87061,  1000.00000,     0.00000,   414.94534,     0.00000,   789.57513,     0.00000
  84,   1,   1,   633.40009,   632.07556,   631.41992,   633.04041,   631.75110,   633.18390,   709.73492,  1205.54761,  1104.58716,  1687.09998,  3003.20581,     0.00000,  1000.00000,     0.00000,   790.07587,     0.00000
  85,   1,   1,   631.19989,   632.96008,   634.50842,   632.88794,   634.07251,   634.25018,     0.00000,  1304.49768,  1105.09412,  2046.59998,  1750.00000,     0.00000,  2754.16455,     0.00000,  1318.95154,     0.00000
  86,   1,   1,   632.29999,   630.31158,   632.29999,   630.09155,   631.48975,   631.63641,     0.00000,   872.24011,  1105.60291,  1327.59998,  1289.32568,     0.00000,  2500.00000,     0.00000,  2500.00000,     0.00000
